SKU;Nome do Produto;Link Gigil (Mercado Livre);Link Lumiss (Mercado Livre)
14700105734;Sandália Feminina Salto Bloco Bico Quadrado Transparente Amarelo;;
14700300334;Sandália Feminina Salto Bloco Laço Bico Quadrado Tira Nó Tornozelo Pink;;
14700300934;Sandália Feminina Salto Bloco Laço Bico Quadrado Tira Nó Tornozelo Preto;;
14700712134;Sandália Salto Grosso Bloco Feminina Vinil Amarração Domidona Off White;;
14700713234;Sandália Salto Grosso Bloco Feminina Vinil Amarração Domidona Preto;;
14700716334;Sandália Salto Grosso Bloco Feminina Vinil Amarração Domidona Lilás;;
14700800134;Sandália Salto Bloco Tiras Cruzadas Transparente Vinil Bico Quadrado Branco;;
14700800934;Sandália Salto Bloco Tiras Cruzadas Transparente Vinil Bico Quadrado Preto;;
14700805734;Sandália Salto Bloco Tiras Cruzadas Transparente Vinil Bico Quadrado Amarelo;;
14700815334;Sandália Salto Bloco Tiras Cruzadas Transparente Vinil Bico Quadrado Candy;;
14700919534;Sandália Feminina Salto Bloco Strass Tiras Confortável Elegante Preto;;
14700919834;Sandália Feminina Salto Bloco Strass Tiras Confortável Elegante Nude;;
14700920234;Sandália Feminina Salto Bloco Strass Tiras Confortável Elegante 147.09 Rosa;;
14700953834;Sandália Feminina Salto Bloco Strass Tiras Confortável Elegante 147.09 Verde;;
14701019534;Sandália Feminina Salto Bloco Grosso Strass Tira Entrelaçada Preto;;
14701019734;Sandália Feminina Salto Bloco Grosso Strass Tira Entrelaçada Off White;;
14701038334;Sandália Feminina Salto Bloco Grosso Strass Tira Entrelaçada Dourado;;
14701057534;Sandália Feminina Salto Bloco Grosso Strass Tira Entrelaçada 147.10 Verde;;
14701119534;Sandália Feminina Tiras Strass Nó Salto Grosso Bloco Brilho;;
14701120234;Sandália Feminina Tiras Strass Nó Salto Grosso Bloco Brilho;;
14701146834;Sandália Feminina Tiras Strass Nó Salto Grosso Bloco Brilho;;
14701219534;Sandália Feminina Salto Bloco Grosso Tiras Strass Brilho Preto;;
14701219734;Sandália Feminina Salto Bloco Grosso 3 Tiras Strass Brilho 147.12 Off White;;
14701246834;Sandália Feminina Salto Bloco Grosso Tiras Strass Brilho Caramelo;;
14701319534;Sandália Feminina De Amarração Tiras Strass Salto Alto Grosso;;
14701328734;Sandália Feminina De Amarração Tiras Strass Salto Alto Grosso;;
14701338334;Sandália Feminina De Amarração Tiras Strass Salto Alto Grosso;;
14701419534;Sandália Feminina Preta Salto Alto Tira Com ABS Metalizado;;
14701419734;Sandália Feminina Off White Salto Alto Tira Com ABS Metalizado;;
14701438334;Sandália Feminina Dourada Salto Alto Tira Com ABS Metalizado;;
14701468934;Sandália Feminina Caramelo Salto Alto Tira Com ABS Metalizado;;
14701571134;Sandália Marrom Salto Alto Bloco Bico Quadrado Com Laço ABS Metalizado;;
14701574634;Sandália Off White Salto Alto Bloco Bico Quadrado Com Laço ABS Metalizado;;
14701576334;Sandália Caramelo Salto Alto Bloco Bico Quadrado Com Laço ABS Metalizado;;
14701600934;Sandália Preta Feminina Animal Print Salto Bloco Tira Única Com Fivela;;
14701601934;Sandália Caramelo Feminina Animal Print Salto Bloco Tira Única Com Fivela;;
14701612134;Sandália Off White Feminina Animal Print Salto Bloco Tira Única Com Fivela;;
15509500128;Tênis Menina Fashion Unicórnio Casual Infantil Botinha Branco;;
15509504128;Tênis Menina Fashion Unicórnio Casual Infantil Botinha Rosa;;
20100328;Tênis Menina Fashion Feminino Infantil Slip On Elástico Casual;;
15520100334;Tênis Feminino Slip On X Com Elástico Calce Fácil Luxo Casual Pink;;
20100928;Tênis Menina Fashion Feminino Infantil Slip On Elástico Casual;;
15520100934;Tênis Feminino Slip On X Com Elástico Calce Fácil Luxo Casual Preto;;
20104128;Tênis Menina Fashion Feminino Infantil Slip On Elástico Casual;;
15520104134;Tênis Feminino Slip On X Com Elástico Calce Fácil Luxo Casual Rosa;;
15700100920;Tênis bebê unicórnio cano alto15704719520Tênis Bebê Feminino Infantil Casual Cano Alto Com Strass Preto;;
15704720120;Tênis Bebê Feminino Infantil Casual Cano Alto Com Strass Rosa;;
16200100234;Sandália Feminina Salto Grosso Tiras Transparentes Domidona Rosa;;
16200100934;Sandália Feminina Salto Grosso Tiras Transparentes Domidona Preto;;
16200101434;Sandália Feminina Salto Grosso Tiras Transparentes Domidona Verde;;
16200112134;Sandália Feminina Salto Grosso Tiras Transparentes Domidona Off White;;
16200328734;Sandália Feminina Salto Grosso Tiras Trança Entrelaçada Strass Cobre;;
16200338334;Sandália Feminina Salto Grosso Tiras Trança Entrelaçada Strass Dourado;;
16200350134;Sandália Feminina Salto Grosso Tiras Trança Entrelaçada Strass Preta;;
16200419534;Sandália Feminina Salto Bloco Grosso Fivela Detalhe Corrente;;
16200419734;Sandália Feminina Salto Bloco Grosso Fivela Detalhe Corrente 162.04;;
16200446834;Sandália Feminina Salto Bloco Grosso Fivela Detalhe Corrente 162.04;;
16200453834;Sandália Feminina Salto Bloco Grosso Fivela Detalhe Corrente 162.04;;
16200519534;Sandália Feminina Casual Salto Bloco Grosso Confortável Moda;;
16200519734;Sandália Feminina Casual Salto Bloco Grosso Confortável Moda;;
16200519834;Sandália Feminina Casual Salto Bloco Grosso Confortável Moda;;
16200553834;Sandália Feminina Casual Salto Bloco Grosso Confortável Moda;;
16200650134;Sandália Feminina Salto Bloco Confortável Tiras Elegantes Moda Preto;;
16200819534;Sandália Feminina Salto Bloco Tira De Strass Curva Luxo;;
16200819734;Sandália Feminina Salto Bloco Tira De Strass Curva Luxo;;
16200820234;Sandália Feminina Salto Bloco Tira De Strass Curva Luxo;;
16200846834;Sandália Feminina Salto Bloco Tira De Strass Curva Luxo;;
